Anaheim Ducks,1,ANA,Western,Pacific
Arizona Coyotes,2,ARI,Western,Pacific
Boston Bruins,3,BOS,Eastern,Atlantic
Buffalo Sabres,4,BUF,Eastern,Atlantic
Calgary Flames,5,CGY,Western,Pacific
Carolina Hurricanes,6,CAR,Eastern,Metropolitan
Chicago Blackhawks,7,CHI,Western,Central
Colorado Avalanche,8,COL,Western,Central
Columbus Blue Jackets,9,CBJ,Eastern,Metropolitan
Dallas Stars,10,DAL,Western,Central
Detroit Red Wings,11,DET,Eastern,Atlantic
Edmonton Oilers,12,EDM,Western,Pacific
Florida Panthers,13,FLA,Eastern,Atlantic
Los Angeles Kings,14,LAK,Western,Pacific
Minnesota Wild,15,MIN,Western,Central
Montreal Canadiens,16,MTL,Eastern,Atlantic
Nashville Predators,17,NSH,Western,Central
New Jersey Devils,18,NJD,Eastern,Metropolitan
New York Islanders,19,NYI,Eastern,Metropolitan
New York Rangers,20,NYR,Eastern,Metropolitan
Ottawa Senators,21,OTT,Eastern,Atlantic
Philadelphia Flyers,22,PHI,Eastern,Metropolitan
Pittsburgh Penguins,23,PIT,Eastern,Metropolitan
San Jose Sharks,24,SJS,Western,Pacific
St. Louis Blues,25,STL,Western,Central
Tampa Bay Lightning,26,TBL,Eastern,Atlantic
Toronto Maple Leafs,27,TOR,Eastern,Atlantic
Vancouver Canucks,28,VAN,Western,Pacific
Washington Capitals,29,WSH,Eastern,Metropolitan
Winnipeg Jets,30,WPG,Western,Central
