
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:00 PM,,Winnipeg Jets,2,6,L,,0,1,0,L 1,,31,2,0,2,0,,32,6,0,0,0,17565,2:26,
2,2015-10-10,7:00 PM,,Montreal Canadiens,2,4,L,,0,2,0,L 2,,21,37,1,4,0,,38,16,1,6,0,17565,2:50,
3,2015-10-12,1:00 PM,,Tampa Bay Lightning,3,6,L,,0,3,0,L 3,,30,8,3,4,0,,23,8,2,4,0,17565,2:30,
4,2015-10-14,10:00 PM,@,Colorado Avalanche,6,2,W,,1,3,0,W 1,,25,8,0,2,0,,22,4,1,4,0,15082,2:17,
5,2015-10-17,10:00 PM,@,Arizona Coyotes,5,3,W,,2,3,0,W 2,,43,13,3,6,1,,23,17,1,4,0,13411,2:35,
6,2015-10-21,8:00 PM,,Philadelphia Flyers,4,5,L,OT,2,3,1,L 1,,30,19,1,3,1,,37,8,1,2,0,17565,2:33,
7,2015-10-23,7:30 PM,@,New York Islanders,5,3,W,,3,3,1,W 1,,26,9,0,3,0,,26,9,1,2,0,13113,2:45,
8,2015-10-27,7:00 PM,,Arizona Coyotes,6,0,W,,4,3,1,W 2,,27,4,1,4,0,,24,28,0,3,0,17565,2:34,
9,2015-10-30,7:30 PM,@,Florida Panthers,3,1,W,,5,3,1,W 3,,30,25,2,3,0,,32,6,1,6,0,14112,2:30,
10,2015-10-31,7:00 PM,@,Tampa Bay Lightning,3,1,W,,6,3,1,W 4,,34,10,1,3,0,,22,6,1,5,0,19092,2:26,
11,2015-11-03,7:00 PM,,Dallas Stars,3,5,L,,6,4,1,L 1,,39,8,1,4,0,,19,8,3,4,0,17565,2:33,
12,2015-11-05,7:00 PM,@,Washington Capitals,1,4,L,,6,5,1,L 2,,29,11,1,2,0,,31,9,1,4,0,18506,2:35,
13,2015-11-07,7:00 PM,@,Montreal Canadiens,2,4,L,,6,6,1,L 3,,31,6,1,5,0,,33,16,2,3,0,21288,2:46,
