
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:00 PM,,Ottawa Senators,1,3,L,,0,1,0,L 1,,27,0,1,3,0,,22,6,0,0,0,19070,2:37,
2,2015-10-10,1:00 PM,,Tampa Bay Lightning,1,4,L,,0,2,0,L 2,,25,4,0,2,0,,31,4,0,3,0,17739,2:27,
3,2015-10-12,3:00 PM,,Columbus Blue Jackets,4,2,W,,1,2,0,W 1,,33,11,3,7,0,,24,19,2,3,0,18075,2:27,
4,2015-10-15,7:30 PM,@,Florida Panthers,2,3,L,,1,3,0,L 1,,26,10,1,6,0,,29,12,2,5,0,11616,2:36,
5,2015-10-17,7:00 PM,@,Tampa Bay Lightning,1,2,L,,1,4,0,L 2,,32,8,0,3,0,,22,6,1,4,0,19092,2:27,
6,2015-10-21,7:00 PM,,Toronto Maple Leafs,2,1,W,SO,2,4,0,W 1,,35,2,0,4,0,,24,8,0,1,0,17762,2:47,
7,2015-10-23,7:00 PM,,Montreal Canadiens,2,7,L,,2,5,0,L 1,,36,6,1,4,0,,26,8,2,3,0,18214,2:28,
8,2015-10-24,7:00 PM,,New Jersey Devils,3,4,L,,2,6,0,L 2,,29,4,2,5,0,,28,10,0,2,1,18040,2:31,
9,2015-10-27,7:00 PM,@,Philadelphia Flyers,4,3,W,OT,3,6,0,W 1,,40,4,1,2,0,,33,4,0,2,0,19432,2:37,
10,2015-10-29,7:00 PM,@,Pittsburgh Penguins,3,4,L,,3,7,0,L 1,,53,2,0,2,0,,29,4,1,1,0,18415,2:28,
11,2015-10-30,7:00 PM,,Philadelphia Flyers,3,1,W,,4,7,0,W 1,,36,28,1,6,0,,28,31,0,4,0,15962,2:37,
12,2015-11-01,7:30 PM,@,New York Islanders,2,1,W,,5,7,0,W 2,,22,0,0,0,0,,30,0,0,0,0,11278,2:18,
