
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,8:00 PM,@,Chicago Blackhawks,3,2,W,,1,0,0,W 1,,27,4,0,0,0,,34,2,0,1,0,22104,2:28,
2,2015-10-09,7:00 PM,@,Columbus Blue Jackets,4,2,W,,2,0,0,W 2,,25,12,0,2,0,,33,6,1,5,0,19027,2:31,
3,2015-10-10,7:00 PM,,Columbus Blue Jackets,5,2,W,,3,0,0,W 3,,29,12,1,2,0,,39,6,1,5,0,18006,2:33,
4,2015-10-13,7:00 PM,,Winnipeg Jets,1,4,L,,3,1,0,L 1,,41,12,0,5,0,,29,12,2,5,1,18006,2:23,
5,2015-10-15,7:30 PM,@,Montreal Canadiens,0,3,L,,3,2,0,L 2,,25,12,0,5,0,,32,12,0,5,0,21288,2:37,
6,2015-10-18,1:00 PM,,New Jersey Devils,1,2,L,OT,3,2,1,L 3,,27,11,0,2,0,,24,9,0,3,0,18006,2:23,
7,2015-10-19,7:00 PM,,San Jose Sharks,4,0,W,,4,2,1,W 1,,28,4,1,1,0,,22,2,0,2,0,18006,2:19,
8,2015-10-22,7:00 PM,,Arizona Coyotes,4,1,W,,5,2,1,W 2,,27,6,1,3,0,,35,6,0,3,0,18006,2:38,
9,2015-10-24,7:00 PM,@,Philadelphia Flyers,2,3,L,SO,5,2,2,L 1,,39,4,1,3,0,,48,6,0,2,0,19805,2:52,
10,2015-10-25,7:00 PM,,Calgary Flames,4,1,W,,6,2,2,W 1,,26,6,0,2,0,,23,6,0,2,0,18006,2:18,
11,2015-10-30,7:00 PM,,Toronto Maple Leafs,3,1,W,,7,2,2,W 2,,26,0,0,3,0,,25,6,0,0,0,18006,2:30,
12,2015-11-03,7:00 PM,,Washington Capitals,5,2,W,,8,2,2,W 3,,22,4,0,1,0,,34,2,0,2,0,18006,2:26,
13,2015-11-06,9:00 PM,@,Colorado Avalanche,2,1,W,,9,2,2,W 4,,33,12,1,2,0,,30,6,1,5,0,17818,2:23,
