
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:30 PM,,Philadelphia Flyers,3,2,W,OT,1,0,0,W 1,,32,6,1,3,0,,25,6,1,3,0,19092,2:34,
2,2015-10-10,1:00 PM,@,Buffalo Sabres,4,1,W,,2,0,0,W 2,,31,4,0,3,0,,25,4,0,2,0,17739,2:27,
3,2015-10-12,1:00 PM,@,Boston Bruins,6,3,W,,3,0,0,W 3,,23,8,2,4,0,,30,8,3,4,0,17565,2:30,
4,2015-10-13,7:30 PM,@,Detroit Red Wings,1,3,L,,3,1,0,L 1,,21,6,0,3,0,,24,6,1,3,0,20027,2:27,
5,2015-10-15,7:30 PM,,Dallas Stars,3,5,L,,3,2,0,L 2,,33,19,0,2,0,,22,6,2,3,0,19092,2:31,
6,2015-10-17,7:00 PM,,Buffalo Sabres,2,1,W,,4,2,0,W 1,,22,6,1,4,0,,32,8,0,3,0,19092,2:27,
7,2015-10-20,8:00 PM,@,Nashville Predators,4,5,L,SO,4,2,1,L 1,,29,6,1,2,0,,33,4,0,3,0,17113,2:43,
8,2015-10-23,8:00 PM,@,Winnipeg Jets,4,3,W,OT,5,2,1,W 1,,31,6,0,2,0,,36,8,0,1,1,15294,2:31,
9,2015-10-24,8:30 PM,@,Chicago Blackhawks,0,1,L,OT,5,2,2,L 1,,21,6,0,4,0,,32,8,0,3,0,21822,2:23,
10,2015-10-27,8:00 PM,@,St. Louis Blues,0,2,L,,5,3,2,L 2,,26,4,0,1,0,,24,2,0,3,0,19184,2:24,
11,2015-10-29,7:30 PM,,Colorado Avalanche,1,2,L,,5,4,2,L 3,,35,12,1,4,0,,26,8,0,6,0,19092,2:28,
12,2015-10-31,7:00 PM,,Boston Bruins,1,3,L,,5,5,2,L 4,,22,6,1,5,0,,34,10,1,3,0,19092,2:26,
13,2015-11-01,5:00 PM,@,Carolina Hurricanes,4,3,W,,6,5,2,W 1,,31,4,1,4,0,,35,8,1,2,0,9081,2:23,
