
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-10,7:00 PM,,New Jersey Devils,5,3,W,,1,0,0,W 1,,27,8,2,5,1,,24,12,1,3,0,18506,2:35,
2,2015-10-13,7:00 PM,,San Jose Sharks,0,5,L,,1,1,0,L 1,,31,10,0,4,0,,32,8,1,5,0,18506,2:33,
3,2015-10-15,7:00 PM,,Chicago Blackhawks,4,1,W,,2,1,0,W 1,,24,2,1,2,0,,27,4,0,1,0,18506,2:17,
4,2015-10-17,7:00 PM,,Carolina Hurricanes,4,1,W,,3,1,0,W 2,,34,10,2,2,0,,19,6,0,4,0,18506,2:26,
5,2015-10-20,9:00 PM,@,Calgary Flames,6,2,W,,4,1,0,W 3,,30,4,0,3,0,,19,6,0,2,0,18303,2:28,
6,2015-10-22,10:00 PM,@,Vancouver Canucks,3,2,W,,5,1,0,W 4,,35,6,0,2,0,,25,4,1,3,0,18188,2:17,
7,2015-10-23,9:00 PM,@,Edmonton Oilers,7,4,W,,6,1,0,W 5,,26,12,2,4,0,,23,8,1,6,0,16839,2:28,
8,2015-10-28,8:00 PM,,Pittsburgh Penguins,1,3,L,,6,2,0,L 1,,34,8,0,3,0,,25,8,0,3,0,18506,2:27,
9,2015-10-30,7:00 PM,,Columbus Blue Jackets,2,1,W,,7,2,0,W 1,,28,6,0,2,0,,30,4,0,3,0,18506,2:27,
10,2015-10-31,7:00 PM,@,Florida Panthers,2,1,W,OT,8,2,0,W 2,,27,6,0,2,0,,27,4,0,3,0,11207,2:34,
11,2015-11-03,7:00 PM,@,New York Rangers,2,5,L,,8,3,0,L 1,,34,2,0,2,0,,22,4,0,1,0,18006,2:26,
12,2015-11-05,7:00 PM,,Boston Bruins,4,1,W,,9,3,0,W 1,,31,9,1,4,0,,29,11,1,2,0,18506,2:35,
13,2015-11-07,7:00 PM,,Toronto Maple Leafs,3,2,W,SO,10,3,0,W 2,,31,10,1,6,0,,25,14,1,3,0,18506,2:52,
