Game,Date,Date ,Date,Converted,Net,,FLA
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,10,1,2,7,1
2,2015,10,12,0,2,0,1
3,2015,10,13,1,4,4,1
4,2015,10,15,1,6,3,2
5,2015,10,17,0,6,2,4
6,2015,10,20,2,7,2,3
7,2015,10,22,0,7,2,3
8,2015,10,24,1,9,6,2
9,2015,10,27,1,11,4,1
10,2015,10,30,0,11,1,3
11,2015,10,31,2,12,1,2
12,2015,11,4,4,13,2,3
13,2015,11,5,0,13,2,5
14,2015,11,7,0,13,1,4
15,2015,11,10,1,15,4,3
16,2015,11,12,0,15,2,3
17,2015,11,14,5,17,5,4
18,2015,11,16,1,19,1,0
19,2015,11,19,0,19,1,3
20,2015,11,21,2,20,4,5
21,2015,11,23,0,20,1,3
22,2015,11,27,5,22,3,2
23,2015,11,29,3,24,2,1
24,2015,12,1,1,26,3,1
25,2015,12,3,1,28,2,1
26,2015,12,4,5,30,2,1
27,2015,12,6,0,30,2,4
28,2015,12,8,0,30,2,4
29,2015,12,10,1,32,4,1
30,2015,12,12,0,32,1,3
31,2015,12,15,1,34,5,1
32,2015,12,17,1,36,5,1
33,2015,12,18,1,38,2,0
34,2015,12,20,5,40,5,4
35,2015,12,22,5,42,2,1
36,2015,12,27,1,44,3,2
37,2015,12,29,1,46,3,1
38,2016,1,2,1,48,3,0
39,2016,1,3,1,50,2,1
40,2016,1,5,1,52,5,1
41,2016,1,7,1,54,3,2
42,2016,1,10,1,56,2,1
43,2016,1,11,2,57,2,3
44,2016,1,13,0,57,0,6
45,2016,1,17,0,57,1,3
46,2016,1,18,0,57,2,4
47,2016,1,22,1,59,4,0
48,2016,1,23,1,61,5,2
49,2016,1,26,1,63,5,1
50,2016,2,2,1,65,5,2
51,2016,2,4,1,67,6,3
52,2016,2,6,2,68,2,3
53,2016,2,8,0,68,0,3
54,2016,2,9,1,70,7,4
55,2016,2,12,0,70,3,5
56,2016,2,13,0,70,0,5
57,2016,2,15,5,72,2,1
58,2016,2,18,4,73,1,2
59,2016,2,20,1,75,3,1
60,2016,2,25,1,77,3,2
61,2016,2,27,4,78,3,4
62,2016,2,28,0,78,1,3
63,2016,3,1,1,80,3,2
64,2016,3,3,0,80,2,3
65,2016,3,5,0,80,1,5
66,2016,3,7,2,81,4,5
67,2016,3,10,1,83,6,2
68,2016,3,12,5,85,5,4
69,2016,3,14,0,85,2,3
70,2016,3,15,1,87,4,1
71,2016,3,17,1,89,4,1
72,2016,3,19,0,89,3,5
73,2016,3,21,0,89,2,4
74,2016,3,24,1,91,4,1
75,2016,3,26,1,93,5,2
76,2016,3,29,,,,
77,2016,3,31,,,,
78,2016,4,2,,,,
79,2016,4,4,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
