Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,7,1,2,5,1
2,2015,10,10,2,3,2,3
3,2015,10,12,5,5,2,1
4,2015,10,13,1,7,3,0
5,2015,10,16,0,7,3,4
6,2015,10,18,2,8,1,2
7,2015,10,22,0,8,2,3
8,2015,10,24,2,9,2,3
9,2015,10,27,1,11,5,1
10,2015,10,29,2,12,3,4
11,2015,10,30,1,14,4,3
12,2015,11,2,1,16,4,1
13,2015,11,4,0,16,2,3
14,2015,11,7,0,16,2,3
15,2015,11,8,2,17,3,4
16,2015,11,10,1,19,5,3
17,2015,11,12,0,19,2,3
18,2015,11,14,0,19,2,4
19,2015,11,16,2,20,3,4
20,2015,11,18,0,20,1,4
21,2015,11,21,1,22,6,3
22,2015,11,22,0,22,2,3
23,2015,11,25,1,24,3,2
24,2015,11,27,4,25,2,3
25,2015,11,30,0,25,0,4
26,2015,12,1,2,26,1,2
27,2015,12,3,0,26,2,4
28,2015,12,5,0,26,0,4
29,2015,12,7,1,28,5,2
30,2015,12,9,1,30,2,1
31,2015,12,13,0,30,0,4
32,2015,12,15,0,30,2,6
33,2015,12,17,0,30,0,2
34,2015,12,18,5,32,4,3
35,2015,12,20,4,33,4,5
36,2015,12,22,1,35,2,1
37,2015,12,26,3,37,2,1
38,2015,12,28,0,37,0,5
39,2016,1,1,5,39,2,1
40,2016,1,4,0,39,2,3
41,2016,1,6,1,41,3,2
42,2016,1,9,2,42,2,3
43,2016,1,11,3,44,3,2
44,2016,1,14,0,44,1,4
45,2016,1,15,3,46,3,2
46,2016,1,17,5,48,2,1
47,2016,1,19,2,49,2,3
48,2016,1,21,1,51,4,2
49,2016,1,23,0,51,4,5
50,2016,1,26,0,51,1,2
51,2016,2,4,4,52,1,2
52,2016,2,6,0,52,1,4
53,2016,2,9,1,54,3,1
54,2016,2,10,1,56,2,1
55,2016,2,13,0,56,2,5
56,2016,2,15,0,56,2,5
57,2016,2,18,0,56,2,5
58,2016,2,19,0,56,2,5
59,2016,2,21,1,58,5,1
60,2016,2,25,1,60,5,3
61,2016,2,28,0,60,1,4
62,2016,3,1,0,60,2,3
63,2016,3,3,0,60,2,3
64,2016,3,5,1,62,4,2
65,2016,3,7,0,62,1,5
66,2016,3,9,3,64,3,2
67,2016,3,12,1,66,4,2
68,2016,3,14,0,66,2,5
69,2016,3,16,0,66,1,3
70,2016,3,18,0,66,0,2
71,2016,3,19,0,66,0,3
72,2016,3,22,0,66,0,2
73,2016,3,24,4,67,2,3
74,2016,3,25,0,67,0,4
75,2016,3,27,0,67,2,3
76,2016,3,29,,,,
77,2016,3,31,,,,
78,2016,4,1,,,,
79,2016,4,4,,,,
80,2016,4,6,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
