Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,1,2,6,2
2,2015,10,9,1,4,3,1
3,2015,10,12,0,4,2,4
4,2015,10,13,1,6,4,1
5,2015,10,16,1,8,3,1
6,2015,10,18,0,8,2,4
7,2015,10,23,2,9,3,4
8,2015,10,25,1,11,5,4
9,2015,10,27,0,11,1,4
10,2015,10,29,1,13,3,1
11,2015,10,31,1,15,3,2
12,2015,11,1,0,15,1,5
13,2015,11,4,1,17,4,2
14,2015,11,5,4,18,2,3
15,2015,11,7,0,18,0,3
16,2015,11,10,0,18,3,5
17,2015,11,12,0,18,3,6
18,2015,11,14,0,18,0,7
19,2015,11,16,0,18,2,3
20,2015,11,18,1,20,4,1
21,2015,11,21,1,22,3,2
22,2015,11,23,0,22,1,4
23,2015,11,25,0,22,3,5
24,2015,11,27,1,24,3,1
25,2015,11,28,0,24,3,5
26,2015,12,2,1,26,6,1
27,2015,12,5,3,28,2,1
28,2015,12,6,0,28,1,3
29,2015,12,10,1,30,6,4
30,2015,12,11,0,30,0,2
31,2015,12,15,0,30,3,4
32,2015,12,18,1,32,5,2
33,2015,12,21,0,32,1,3
34,2015,12,22,0,32,1,4
35,2015,12,27,1,34,1,0
36,2015,12,29,1,36,4,1
37,2015,12,31,0,36,2,4
38,2016,1,2,1,38,4,1
39,2016,1,3,0,38,1,4
40,2016,1,5,1,40,4,1
41,2016,1,7,4,41,1,2
42,2016,1,10,0,41,2,4
43,2016,1,12,0,41,1,4
44,2016,1,14,3,43,5,4
45,2016,1,15,1,45,1,0
46,2016,1,18,0,45,1,2
47,2016,1,21,0,45,1,4
48,2016,1,23,0,45,1,3
49,2016,1,26,1,47,5,2
50,2016,2,2,0,47,3,5
51,2016,2,5,0,47,3,5
52,2016,2,6,1,49,4,2
53,2016,2,9,5,51,2,1
54,2016,2,11,0,51,2,6
55,2016,2,13,5,53,2,1
56,2016,2,16,0,53,1,2
57,2016,2,18,4,54,5,6
58,2016,2,20,0,54,1,3
59,2016,2,23,0,54,3,5
60,2016,2,25,1,56,6,3
61,2016,2,27,0,56,1,4
62,2016,3,1,0,56,2,3
63,2016,3,3,2,57,3,4
64,2016,3,5,1,59,4,2
65,2016,3,6,0,59,1,2
66,2016,3,8,0,59,2,4
67,2016,3,10,0,59,2,3
68,2016,3,12,1,61,3,2
69,2016,3,14,1,63,5,2
70,2016,3,16,0,63,1,4
71,2016,3,18,0,63,0,4
72,2016,3,20,2,64,2,3
73,2016,3,22,1,66,2,0
74,2016,3,24,1,68,4,1
75,2016,3,26,0,68,2,3
76,2016,3,28,2,69,2,3
77,2016,3,30,,,,
78,2016,4,1,,,,
79,2016,4,3,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
