
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,8:00 PM,,New York Rangers,2,3,L,,0,1,0,L 1,,34,2,0,1,0,,27,4,0,0,0,22104,2:28,
2,2015-10-09,7:30 PM,@,New York Islanders,3,2,W,OT,1,1,0,W 1,,35,2,1,3,1,,36,6,0,2,0,15795,2:37,
3,2015-10-10,8:30 PM,,New York Islanders,4,1,W,,2,1,0,W 2,,34,4,1,7,0,,29,24,0,2,1,21392,2:23,
4,2015-10-14,8:00 PM,@,Philadelphia Flyers,0,3,L,,2,2,0,L 1,,30,10,0,5,0,,29,10,1,6,0,19779,2:25,
5,2015-10-15,7:00 PM,@,Washington Capitals,1,4,L,,2,3,0,L 2,,27,4,0,1,0,,24,2,1,2,0,18506,2:17,
6,2015-10-17,8:30 PM,,Columbus Blue Jackets,4,1,W,,3,3,0,W 1,,30,13,2,5,0,,23,19,0,2,0,21563,2:19,
7,2015-10-22,8:30 PM,,Florida Panthers,3,2,W,,4,3,0,W 2,,27,8,2,8,0,,18,16,1,4,0,21591,2:34,
8,2015-10-24,8:30 PM,,Tampa Bay Lightning,1,0,W,OT,5,3,0,W 3,,32,8,0,3,0,,21,6,0,4,0,21822,2:23,
9,2015-10-26,8:30 PM,,Anaheim Ducks,1,0,W,OT,6,3,0,W 4,,24,15,0,3,0,,39,25,0,3,0,21529,2:36,
10,2015-10-29,8:00 PM,@,Winnipeg Jets,1,3,L,,6,4,0,L 1,,46,6,1,3,0,,31,6,1,3,0,15294,2:32,
11,2015-10-30,8:00 PM,@,Minnesota Wild,4,5,L,,6,5,0,L 2,,29,4,1,1,1,,30,2,1,2,0,19140,2:43,
12,2015-11-02,8:30 PM,,Los Angeles Kings,4,2,W,,7,5,0,W 1,,26,6,0,1,1,,35,4,0,2,0,21534,2:28,
13,2015-11-04,8:00 PM,,St. Louis Blues,5,6,L,OT,7,5,1,L 1,,43,4,1,5,0,,29,10,1,2,0,21676,2:45,
