
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:30 PM,,Pittsburgh Penguins,3,0,W,,1,0,0,W 1,,24,6,2,5,0,,37,10,0,3,0,18532,2:41,
2,2015-10-10,9:00 PM,@,Colorado Avalanche,3,6,L,,1,1,0,L 1,,33,13,1,4,0,,28,15,2,4,0,16024,2:31,
3,2015-10-13,8:30 PM,,Edmonton Oilers,4,2,W,,2,1,0,W 1,,52,4,0,4,0,,28,10,0,1,0,16265,2:30,
4,2015-10-15,7:30 PM,@,Tampa Bay Lightning,5,3,W,,3,1,0,W 2,,22,6,2,3,0,,33,19,0,2,0,19092,2:31,
5,2015-10-17,7:00 PM,@,Florida Panthers,4,2,W,,4,1,0,W 3,,37,4,1,2,0,,26,6,0,1,0,12834,2:30,
6,2015-10-20,7:30 PM,@,Philadelphia Flyers,2,1,W,,5,1,0,W 4,,32,12,0,2,0,,35,10,0,4,0,19077,2:35,
7,2015-10-22,7:00 PM,@,Pittsburgh Penguins,4,1,W,,6,1,0,W 5,,23,23,1,3,0,,34,6,0,5,0,18490,2:32,
8,2015-10-24,8:00 PM,,Florida Panthers,2,6,L,,6,2,0,L 1,,35,11,1,4,0,,30,15,0,2,0,18532,2:34,
9,2015-10-27,8:30 PM,,Anaheim Ducks,4,3,W,,7,2,0,W 1,,34,13,1,3,1,,20,11,1,4,0,17798,2:32,
10,2015-10-29,8:30 PM,,Vancouver Canucks,4,3,W,OT,8,2,0,W 2,,29,6,0,3,0,,32,8,1,2,0,17664,2:32,
11,2015-10-31,3:00 PM,,San Jose Sharks,5,3,W,,9,2,0,W 3,,25,8,1,5,1,,29,8,2,4,1,18178,2:33,
12,2015-11-02,7:30 PM,@,Toronto Maple Leafs,1,4,L,,9,3,0,L 1,,44,10,0,2,0,,26,2,2,5,0,19087,2:51,
13,2015-11-03,7:00 PM,@,Boston Bruins,5,3,W,,10,3,0,W 1,,19,8,3,4,0,,39,8,1,4,0,17565,2:33,
