
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,10:30 PM,,San Jose Sharks,1,5,L,,0,1,0,L 1,,20,36,0,6,0,,32,24,2,8,0,18230,2:40,
2,2015-10-09,10:30 PM,,Arizona Coyotes,1,4,L,,0,2,0,L 2,,41,8,0,4,1,,22,10,0,3,0,18230,2:27,
3,2015-10-13,10:30 PM,,Vancouver Canucks,0,3,L,,0,3,0,L 3,,15,13,0,3,0,,26,11,0,4,0,18230,2:23,
4,2015-10-16,10:30 PM,,Minnesota Wild,2,1,W,OT,1,3,0,W 1,,37,10,1,4,0,,26,8,1,5,0,18230,2:34,
5,2015-10-18,10:00 PM,,Colorado Avalanche,2,1,W,,2,3,0,W 2,,40,32,0,4,0,,23,28,1,6,0,18230,2:34,
6,2015-10-22,10:30 PM,@,San Jose Sharks,4,1,W,,3,3,0,W 3,,29,12,2,4,0,,40,8,0,5,0,16797,2:39,
7,2015-10-23,10:30 PM,,Carolina Hurricanes,3,0,W,,4,3,0,W 4,,28,10,1,2,0,,40,6,0,4,0,18230,2:31,
8,2015-10-25,9:30 PM,@,Edmonton Oilers,3,2,W,,5,3,0,W 5,,34,9,1,2,0,,28,9,1,2,0,16839,2:27,
9,2015-10-27,8:00 PM,@,Winnipeg Jets,4,1,W,,6,3,0,W 6,,32,2,0,1,0,,25,2,0,1,0,15294,2:20,
10,2015-10-31,4:00 PM,,Nashville Predators,4,3,W,OT,7,3,0,W 7,,29,6,1,3,0,,34,6,2,3,0,18230,2:29,
11,2015-11-02,8:30 PM,@,Chicago Blackhawks,2,4,L,,7,4,0,L 1,,35,4,0,2,0,,26,6,0,1,1,21534,2:28,
12,2015-11-03,8:30 PM,@,St. Louis Blues,3,0,W,,8,4,0,W 1,,34,13,1,5,0,,24,15,0,4,0,17529,2:35,
13,2015-11-05,10:30 PM,,Columbus Blue Jackets,2,3,L,,8,5,0,L 1,,33,26,1,4,0,,25,26,1,4,0,18230,2:37,
