
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,9:00 PM,@,Colorado Avalanche,5,4,W,,1,0,0,W 1,,30,6,1,2,0,,23,6,2,2,0,18007,2:36,
2,2015-10-10,8:00 PM,,St. Louis Blues,3,2,W,,2,0,0,W 2,,19,10,1,3,0,,32,10,1,3,0,19096,2:27,
3,2015-10-15,10:00 PM,@,Arizona Coyotes,4,3,W,,3,0,0,W 3,,24,16,1,5,1,,30,24,0,7,0,12029,2:44,
4,2015-10-16,10:30 PM,@,Los Angeles Kings,1,2,L,OT,3,0,1,L 1,,26,8,1,5,0,,37,10,1,4,0,18230,2:34,
5,2015-10-18,8:00 PM,@,Anaheim Ducks,1,4,L,,3,1,1,L 2,,35,4,0,1,0,,22,2,0,2,0,16784,2:34,
6,2015-10-22,8:00 PM,,Columbus Blue Jackets,3,2,W,,4,1,1,W 1,,23,4,1,2,0,,29,4,1,2,0,18650,2:31,
7,2015-10-24,6:00 PM,,Anaheim Ducks,3,0,W,,5,1,1,W 2,,30,2,0,5,1,,15,8,0,1,0,19034,2:29,
8,2015-10-25,6:00 PM,@,Winnipeg Jets,4,5,L,,5,2,1,L 1,,30,2,1,5,0,,33,10,0,1,0,15294,2:34,
9,2015-10-27,8:00 PM,,Edmonton Oilers,4,3,W,,6,2,1,W 1,,28,0,1,2,0,,25,4,0,1,0,18936,2:23,
10,2015-10-30,8:00 PM,,Chicago Blackhawks,5,4,W,,7,2,1,W 2,,30,2,1,2,0,,29,4,1,1,1,19140,2:43,
11,2015-10-31,8:00 PM,@,St. Louis Blues,2,3,L,OT,7,2,2,L 1,,31,13,0,5,0,,26,19,0,1,0,17728,3:01,
12,2015-11-05,8:00 PM,,Nashville Predators,2,3,L,,7,3,2,L 2,,29,4,2,6,0,,24,14,0,1,0,19024,2:40,
13,2015-11-07,8:00 PM,,Tampa Bay Lightning,1,0,W,,8,3,2,W 1,,25,4,0,3,0,,31,6,0,2,0,19066,2:20,
